groupname,overallocation,conflicts,undersupport,unwilling,unpreferred,unpreffered
group1,1.0,0,24.0,7,,2
group1,3.0,0,19.0,13,,4
group1,0.0,0,27.0,4,,2
group1,0.0,0,34.0,2,,0
group1,0.0,0,28.0,2,,4
group1,0.0,0,30.0,3,,1
group1,3.0,2,24.0,5,,6
group1,0.0,0,28.0,4,,1
group1,0.0,0,32.0,2,,1
group1,4.0,0,19.0,13,,2
group1,1.0,0,31.0,2,,1
group1,1.0,0,32.0,2,,0
group1,0.0,0,30.0,1,,3
group1,1.0,0,25.0,3,,6
group1,0.0,0,33.0,1,,1
group1,0.0,0,29.0,3,,2
group1,2.0,0,22.0,11,,1
group1,1.0,0,26.0,9,,0
group1,1.0,0,24.0,11,,1
group1,1.0,0,23.0,12,,1
group1,1.0,0,21.0,8,,5
group1,0.0,0,28.0,5,,0
group1,0.0,0,26.0,5,,2
group1,3.0,0,26.0,7,,0
group1,0.0,0,26.0,4,,3
group1,0.0,0,35.0,1,,0
group1,1.0,0,21.0,11,,2
group1,0.0,0,25.0,7,,1
group1,0.0,0,26.0,6,,1
group1,0.0,0,27.0,5,,1
group1,1.0,0,25.0,10,,0
group1,3.0,1,18.0,11,,6
group1,0.0,0,28.0,3,,3
group1,1.0,0,25.0,5,,4
group1,0.0,0,27.0,6,,0
group1,1.0,0,26.0,3,,5
group1,2.0,0,25.0,8,,0
group1,0.0,0,33.0,3,,0
group1,0.0,0,27.0,3,,4
group1,1.0,0,21.0,9,,3
group1,1.0,0,22.0,7,,3
group1,1.0,0,31.0,3,,0
group1,0.0,0,39.0,0,,0
group1,2.0,0,24.0,9,,1
group1,3.0,0,24.0,8,,0
group1,3.0,0,23.0,10,,1
group1,1.0,0,23.0,6,,3
group1,2.0,0,20.0,11,,2
group1,1.0,0,23.0,9,,2
group1,0.0,0,29.0,4,,0
group1,2.0,0,21.0,14,,1
group1,2.0,0,22.0,10,,2
